X,Y,U,V,absV,
Rectangular zone
-1.71662,0.423311,0.417251,-0.224954,0.48007,
-1.64773,0.423311,0.158534,-0.0833734,0.254414,
-1.57884,0.423311,-0.124213,-0.105674,0.174897,
-1.50996,0.423311,0.303755,-0.296164,0.454835,
-1.44107,0.423311,0.162582,-0.287353,0.364173,
-1.37218,0.423311,0.138504,-0.109461,0.185179,
-1.30329,0.423311,0.294564,-0.173051,0.344143,
-1.2344,0.423311,1.54644,-1.35357,2.11842,
-1.16551,0.423311,0.525667,-0.545585,1.0922,
-1.09662,0.423311,1.99506,-2.90944,3.52891,
-1.02773,0.423311,1.54935,-3.10561,3.47201,
-0.958841,0.423311,0.558854,-1.17453,1.30432,
-0.889952,0.423311,1.89764,-4.54161,4.92382,
-0.821062,0.423311,0.433276,-1.56887,1.62858,
-0.752173,0.423311,0.241409,-1.61993,1.64029,
-0.683284,0.423311,0.371635,-1.61474,1.67795,
-0.614395,0.423311,0.535257,-1.55844,1.65137,
-0.545505,0.423311,-0.134092,-0.735959,0.748592,
-0.476616,0.423311,-0.604097,-0.958446,1.34383,
-0.407727,0.423311,-1.00732,-1.89162,2.17348,
-0.338837,0.423311,-1.88099,-0.248842,1.89801,
